,Edad,Edad,Edad,Edad,Edad,TotalEstudiantes,TotalEstudiantes,TotalEstudiantes,TotalEstudiantes,TotalEstudiantes
,mean,median,std,min,max,mean,median,std,min,max
tot_atraso,,,,,,,,,,
0,7.871,8.0,3.842,0.0,18.0,14.077,5.0,26.093,1,831
1,13.826,14.0,2.64,8.0,18.0,11.164,1.0,26.88,1,774
2,14.303,14.0,2.504,8.0,18.0,19.261,5.0,36.041,2,647
3,14.734,15.0,2.399,8.0,18.0,24.574,8.0,41.753,3,716
4,15.05,15.0,2.345,8.0,18.0,30.372,10.0,48.949,4,803
5,15.274,16.0,2.296,8.0,18.0,34.277,12.0,52.838,5,709
6,15.52,16.0,2.229,8.0,18.0,36.467,13.0,53.967,6,642
7,15.746,16.0,2.136,8.0,18.0,41.479,15.0,60.845,7,678
8,15.839,16.0,2.084,8.0,18.0,45.053,16.0,65.325,8,683
9,16.031,17.0,2.007,8.0,18.0,45.535,17.0,63.714,9,644
10,16.144,17.0,1.982,8.0,18.0,48.915,18.0,68.441,10,573
11,16.281,17.0,1.877,8.0,18.0,49.35,18.0,65.041,11,491
12,16.271,17.0,1.881,9.0,18.0,53.108,22.0,70.255,12,493
13,16.365,17.0,1.826,10.0,18.0,53.116,21.0,68.258,13,525
14,16.435,17.0,1.77,10.0,18.0,53.387,22.0,67.98,14,714
15,16.616,17.0,1.698,11.0,18.0,55.935,15.0,70.659,15,478
16,16.475,17.0,1.737,10.0,18.0,62.316,24.0,80.778,16,524
17,16.611,17.0,1.658,11.0,18.0,58.583,21.0,77.294,17,678
18,16.707,17.0,1.666,10.0,18.0,59.595,18.0,74.667,18,460
19,16.719,18.0,1.735,10.0,18.0,50.923,19.0,57.937,19,313
20,16.736,17.0,1.586,11.0,18.0,59.342,20.0,71.341,20,499
21,16.869,18.0,1.507,11.0,18.0,59.76,21.0,78.273,21,503
22,17.06,18.0,1.434,11.0,18.0,53.195,22.0,65.477,22,496
23,16.794,17.0,1.453,12.0,18.0,68.154,26.0,68.285,23,327
24,16.865,18.0,1.563,11.0,18.0,68.542,24.0,78.999,24,431
25,17.081,18.0,1.364,12.0,18.0,57.531,25.0,61.577,25,373
26,16.979,18.0,1.494,11.0,18.0,69.168,26.0,78.42,26,480
27,16.874,18.0,1.521,12.0,18.0,75.387,27.0,84.023,27,465
28,17.085,18.0,1.325,12.0,18.0,71.453,28.0,80.35,28,488
29,17.232,18.0,1.169,13.0,18.0,65.988,29.0,78.981,29,432
30,17.211,18.0,1.308,12.0,18.0,58.239,30.0,67.195,30,456
31,17.108,18.0,1.201,13.0,18.0,68.754,31.0,70.498,31,368
32,17.051,18.0,1.265,13.0,18.0,69.559,32.0,61.485,32,328
33,17.585,18.0,0.921,14.0,18.0,50.78,33.0,54.581,33,316
34,17.167,18.0,1.291,12.0,18.0,73.417,34.0,61.305,34,247
35,17.137,18.0,1.414,13.0,18.0,74.667,35.0,96.174,35,608
36,17.462,18.0,1.232,12.0,18.0,55.077,36.0,42.855,36,208
37,17.226,18.0,1.283,14.0,18.0,78.806,37.0,72.456,37,271
38,17.514,18.0,0.919,15.0,18.0,73.2,38.0,84.856,38,441
39,17.385,18.0,1.267,13.0,18.0,58.923,39.0,47.651,39,229
40,17.171,18.0,1.382,12.0,18.0,80.486,40.0,73.59,40,344
41,17.259,18.0,1.095,14.0,18.0,66.407,41.0,44.746,41,205
42,17.529,18.0,0.961,15.0,18.0,69.118,42.0,60.33,42,289
43,17.045,18.0,1.29,14.0,18.0,101.773,43.0,97.14,43,393
44,17.353,18.0,1.272,14.0,18.0,88.353,44.0,126.778,44,565
45,17.522,18.0,0.898,15.0,18.0,68.087,45.0,55.491,45,298
46,17.722,18.0,0.826,15.0,18.0,74.556,46.0,108.201,46,505
47,17.571,18.0,0.938,15.0,18.0,72.286,47.0,51.414,47,197
48,17.2,18.0,1.474,13.0,18.0,81.2,48.0,93.472,48,412
49,17.833,18.0,0.577,16.0,18.0,53.5,49.0,15.588,49,103
50,18.0,18.0,0.0,18.0,18.0,50.0,50.0,0.0,50,50
51,17.714,18.0,0.756,16.0,18.0,70.429,51.0,51.403,51,187
52,17.75,18.0,0.463,17.0,18.0,66.25,52.0,27.907,52,126
53,17.125,18.0,1.356,15.0,18.0,133.375,53.0,160.001,53,514
54,17.0,18.0,1.581,14.0,18.0,117.889,54.0,150.538,54,506
55,17.75,18.0,0.5,17.0,18.0,62.0,55.0,14.0,55,83
56,17.75,18.0,0.5,17.0,18.0,70.5,56.0,29.0,56,114
57,17.4,18.0,0.894,16.0,18.0,71.8,57.0,25.548,57,116
58,18.0,18.0,0.0,18.0,18.0,58.0,58.0,0.0,58,58
59,18.0,18.0,0.0,18.0,18.0,59.0,59.0,0.0,59,59
60,17.286,18.0,0.951,16.0,18.0,99.286,60.0,61.419,60,225
61,18.0,18.0,0.0,18.0,18.0,61.0,61.0,0.0,61,61
62,18.0,18.0,0.0,18.0,18.0,62.0,62.0,0.0,62,62
63,18.0,18.0,0.0,18.0,18.0,63.0,63.0,0.0,63,63
64,18.0,18.0,0.0,18.0,18.0,64.0,64.0,0.0,64,64
65,17.4,18.0,1.342,15.0,18.0,109.6,65.0,99.729,65,288
66,18.0,18.0,0.0,18.0,18.0,66.0,66.0,0.0,66,66
67,17.5,18.0,1.0,16.0,18.0,152.5,67.0,171.0,67,409
68,17.0,17.0,0.0,17.0,17.0,101.0,101.0,29.698,80,122
69,18.0,18.0,,18.0,18.0,69.0,69.0,,69,69
70,18.0,18.0,0.0,18.0,18.0,70.0,70.0,0.0,70,70
71,17.5,17.5,0.707,17.0,18.0,117.0,117.0,65.054,71,163
72,17.0,17.0,1.414,16.0,18.0,86.5,86.5,20.506,72,101
73,18.0,18.0,,18.0,18.0,73.0,73.0,,73,73
74,18.0,18.0,0.0,18.0,18.0,74.0,74.0,0.0,74,74
75,17.0,17.0,,17.0,17.0,137.0,137.0,,137,137
76,18.0,18.0,,18.0,18.0,76.0,76.0,,76,76
77,18.0,18.0,,18.0,18.0,77.0,77.0,,77,77
78,18.0,18.0,0.0,18.0,18.0,78.0,78.0,0.0,78,78
79,18.0,18.0,,18.0,18.0,79.0,79.0,,79,79
80,18.0,18.0,,18.0,18.0,80.0,80.0,,80,80
81,18.0,18.0,0.0,18.0,18.0,81.0,81.0,0.0,81,81
83,18.0,18.0,,18.0,18.0,83.0,83.0,,83,83
84,18.0,18.0,0.0,18.0,18.0,84.0,84.0,0.0,84,84
85,18.0,18.0,0.0,18.0,18.0,85.0,85.0,0.0,85,85
87,16.0,16.0,,16.0,16.0,284.0,284.0,,284,284
88,18.0,18.0,,18.0,18.0,88.0,88.0,,88,88
93,18.0,18.0,,18.0,18.0,93.0,93.0,,93,93
95,18.0,18.0,,18.0,18.0,95.0,95.0,,95,95
96,18.0,18.0,,18.0,18.0,96.0,96.0,,96,96
97,18.0,18.0,,18.0,18.0,97.0,97.0,,97,97
99,18.0,18.0,,18.0,18.0,99.0,99.0,,99,99
101,18.0,18.0,,18.0,18.0,101.0,101.0,,101,101
110,18.0,18.0,,18.0,18.0,110.0,110.0,,110,110
117,18.0,18.0,,18.0,18.0,117.0,117.0,,117,117
